Job Code,City,State,County,Bidding Contractors,Job Status
BLI,Kissimmee,Florida,Osceola County,,Completed
BLM,Jacksonville,Florida,Duval County,,In Production
BLO,Shreveport,Louisiana,,,In Production
BLQ,Palmetto,Florida,Manatee County,,In Production
BLR,Jacksonville,Florida,Duval County,,In Production
BLS,Piedmont,South Carolina,,,In Production
BLT,Palmetto,Florida,Manatee County,,In Production
BNQ,Homosassa,Florida,,,In Production
BMX,Parrish,Florida,Manatee County,,In Production
BLU,Palmetto,Florida,Manatee County,,In Production
BNR,,Maryland,Charles County,,In Production
BMJ,Parrish,Florida,Manatee County,,In Production
BNP,Parrish,Florida,Manatee County,,In Production
BLX,Jacksonville,Florida,Duval County,,In Production
BNX,Jacksonville,Florida,Duval County,,In Production
BNA,,Florida,Manatee County,,In Production
BLY,McDonough,Georgia,,,In Production
BNU,Sayreville,New Jersey,,,In Production
BME,Jacksonville,Florida,Duval County,,In Production
BNZ,Jacksonville,Florida,Duval County,,In Production
BMR,Palmetto,Florida,Manatee County,,In Production
BNW,Jacksonville,Florida,Duval County,,In Production
BMQ,Gainesville,Florida,Alachua County,,In Production
BMK,Washington,North Carolina,,,In Production
BNI,Monroe,North Carolina,,,In Production
BLW,Jacksonville,Florida,Duval County,,In Production
BMM,Clayton,North Carolina,,,In Production
BND,Dudedin,Florida,,,In Production
BMN,Jacksonville,Florida,Duval County,,In Production
BLZ,Greenville,South Carolina,,,In Production
BMU,St. Cloud,Florida,Osceola County,,Completed
BMD,West Chester,Pennsylvania,,,In Production
BNJ,Sunset Beach,North Carolina,,,In Production
BNT,Palmetto,Florida,Manatee County,,In Production
BOA,Jacksonville,Florida,Duval County,,In Production
BNL,Norfolk,Virginia,,,In Production
BNH,,North Carolina,,,In Production
BMV,Greenville,Florida,,,In Production
BUL,,North Carolina,,,In Production
BOM,Bradenton,Florida,Manatee County,,In Production
BQJ,Palmetto,Florida,Manatee County,,In Production
BPI,Gainesville,Florida,Alachua County,,In Production
BSG,Piedmont,North Carolina,,,In Production
BPQ,Jacksonville,Florida,Duval County,,In Production
BQB,Wilson,North Carolina,,,In Production
BPU,St. Cloud,Florida,Osceola County,,Completed
BPO,Sarasota,Florida,Manatee County,,In Production
BQF,St. Cloud,Florida,Osceola County,,Completed
BQG,Jacksonville,Florida,Duval County,,In Production
BOT,St. Cloud,Florida,Osceola County,,Completed
BQK,Culpeper,Virginia,,,In Production
BPC,Pensacola,Florida,,,In Production
