Job Code,City,State,County,Bidding Contractors,Job Status
DFG,Pace,Florida,Santa Rosa County,,In Production
DDW,Big Spring,Texas,big spring tx,,In Production
DHG,Bradenton,Florida,Manatee County,Firethorn,Completed
DHX,,Florida,Manatee County,C&M Roadbuilders,Completed
DNJ,Cottonwood,Arizona,,Schofield Civil Construction,Completed
DLE,,North Carolina,Brunswick County,,Completed
DEI,Buckeye,Arizona,Maricopa County,,Completed
DIK,Parrish,Florida,Manatee County,QGS,Completed
DEP,Davis,California,Yolo County,,Completed
DCP,Bradenton,Florida,Manatee County,Central Site Dev,Completed
DTE,Davenport,Florida,Osceola County,WalRose,Completed
DCU,Ennis,Texas,,,In Production
DSD,Ash,North Carolina,Brunswick County,,Completed
DJF,Parrish,Florida,Manatee County,RIPA,Completed
DSH,Parrish,Florida,Manatee County,ET Makenzie Co.,Completed
DFH,Midwest City,Oklahoma,,,In Production
DFN,Frederickson,Washington,Pierce County,,In Production
DPA,El Centro,California,,,Completed
DKE,,Florida,Manatee County,RIPA,Completed
DFQ,Houston,Texas,Harris County,,In Production
DTO,,Florida,Manatee County,ET Makenzie Co.,Completed
DDM,,Washington,Pierce County,,Completed
DGV,,Florida,Polk County,Felix Associates of Florida,Completed
DII,,Florida,Manatee County,DEME,Completed
DJE,,Florida,Manatee County,RIPA,Completed
DGM,,Florida,Manatee County,ET Makenzie Co.,Completed
DES,,Arizona,Maricopa County,,Completed
DCL,Minden,Nevada,Douglas,,In Production
DEG,Debary,Florida,Volusia County,Eden Site Dev,Completed
DFB,,California,Ventura County,,Completed
DEE,Boulder,Colorado,,,Completed
DFA,,Florida,Citrus County,Pave-Rite Inc,Completed
DTK,,Florida,Manatee County,"DEME, ET Makenzie Co., Fredrick Derr, RIPA",Completed
DLS,Columbia,South Carolina,,,In Production
DDI,El Paso,Texas,,,In Production
DKB,Palmetto,Florida,Manatee County,Wilson Site Dev,Completed
DKA,Palmetto,Florida,Manatee County,Wilson Site Dev,Completed
DOE,Beaufort,North Carolina,Carteret,,Completed
EIK,,Florida,Osceola County,"Blue Ox, Brockman, The Briar Team",In Production
DRZ,Cape Fear,North Carolina,,,Completed
DKW,Bradenton,Florida,Manatee County,Mcleod Land Services,Completed
DLW,Culpeper,Virginia,Culpeper County,,Completed
DGB,,California,San Diego County,Dempsey Const,Completed
DAU,Lubbock,Texas,,,In Production
DEC,Cape Canaveral,Florida,Brevard County,Rampage,Completed
DUJ,,Florida,Osceola County,Southern Development & Construction Inc.,Completed
DKS,,Utah,Davis County,,In Production
DBL,,Utah,Syracuse,,In Production
DDR,Pace,Florida,Santa Rosa County,Pace Water System Inc,In Production
CXS,Mesa,Arizona,,,In Production
DQW,Kissimmee,Florida,Osceola County,Team DBC,Completed
DRB,Georgetown,Texas,,,Completed
DBS,Raleigh,North Carolina,Wake County,,In Production
DBS,Raleigh,North Carolina,Wake County,,In Production
DKX,,Florida,Manatee County,Central Site Dev,Completed
DFT,,Florida,Manatee County,C&M Roadbuilders,Completed
EDG,,Florida,Manatee County,"Central Site Dev, Landmark Services, The Kerney Company",Completed
DCS,City of Yuma,Arizona,Yuma County,,Completed
DGT,Bend,Oregon,Deschutes County,Taylor NW,Completed
DDH,Marana,Arizona,Pima County,,In Production
DDN,Lawrenceville,Georgia,Gwinnett County,,In Production
DDZ,,Arizona,,,Completed
CXA,,Florida,Manatee County,,Completed
DDV,Las Vegas,Nevada,Clark County,,Completed
DKY,,Florida,Manatee County,Central Site Dev,Completed
DHQ,Calabash,North Carolina,Brunswick County,LM McLamb & Son Construction,Completed
DDF,Jacksonville,Florida,Duval County,,Completed
DKG,San Mateo,California,San Mateo,,Completed
DHN,Chula Vista,California,City of Chula Vista,SCW Contracting Corp.,Completed
DOD,Kissimmee,Florida,TOHO,JR Davis,Completed
DGG,Scottsdale,Arizona,,Achen-Gardner Construction,Completed
DGZ,Bradenton,Florida,Manatee County,Landmark Services,Completed
DDB,Granbury,Texas,,,In Production
DLU,Merritt Island,Florida,Brevard County,Metro Equipment Service Inc.,Completed
DIW,Chanhassen,Minnesota,,,In Production
DDC,Parrish,Florida,Manatee County,The Kerney Company,Completed
DHZ,Scottsdale,Arizona,Scottsdale,Achen-Gardner Construction,Completed
CYC,,,,,Completed
DFX,Palmetto,Florida,Manatee County,Raymo Constrction,Completed
DIP,Gainesville,Florida,Alachua County,Jacobs,Completed
DHL,Niagara Falls,New York,,Romtec,Completed
DHP,Avalon,Virginia,,,In Production
DBW,Lakeland,Florida,Polk County,,Quote Sent to Sales
DEK,,Texas,,,In Production
CTB,,California,,,Completed
DDI,,Texas,,,In Production
CTL,,California,,,In Production
DJA,,California,Bakersfield,Nicholas Construction Inc.,Completed
CYF,,Texas,,,Completed
DCE,,California,,,Completed
DFP,,California,Placer County,,Completed
CZS,,California,Carmel Area Wastewater District,Don Chapin,Completed
DOA,Houston,Texas,Houston County,,In Production
DBD,,Texas,,,In Production
CWP,,,San Antonio,,In Production
DJJ,Conway,Arkansas,,,Completed
CWZ,,Arizona,,,In Production
DEJ,,Nevada,Fallon,,In Production
DCX,,Arizona,Marana,,In Production
CZN,,Arizona,San Luis,,In Production
DAV,,Arizona,Queen Creek,,Completed
DDS,,Arizona,Buckeye,,In Production
CVT,,,,,Completed
DCN,,Arizona,Pima County,,In Production
DCI,,Arizona,City of Tempe,,Completed
DDX,,Arizona,Scottsdale,,Completed
CYB,,,,,In Production
CWN,,Arizona,Queen Creek,,Completed
DAK,,Arizona,Chandler,,In Production
DBT,,Arizona,Buckeye,,In Production
DBB,,Arizona,Buckeye,,In Production
CVE,,Arizona,Phoenix,,In Production
DCF,,Texas,,,In Production
CYD,,,,,Completed
CXU,,,Marana,,In Production
CZN,,,San Luis,,In Production
CWG,,,Goodyear,,In Production
CWX,,,City of Somerton,,In Production
CVK,,,,,In Production
CXB,,,,,In Production
CXD,,Arizona,City of Tempe,,Completed
DCV,,Arizona,Buckeye,,In Production
CVS,,Arizona,Masa,,In Production
CRV,,Arizona,Queen Creek,,In Production
CZO,,Arizona,Town of Gilbert,,In Production
CXR,,Arizona,Scottsdale,,Completed
CXQ,,Arizona,Scottsdale,,Completed
CZE,,,,,In Production
CZZ,,,Carlsbad,,In Production
CXG,,Utah,Salt Lake,,In Production
DBU,,,,,In Production
DCA,,Nevada,Carson City,,In Production
DCA,,Nevada,Carson City,,In Production
CIX,,,,,In Production
COI,,California,Fresno,Floyd Johnston Construction,In Production
DCK,,,,,In Production
DAE,,California,Sonoma County,,In Production
CYA,,Oregon,Bend,,In Production
DCE,,,,,Completed
CZP,,,,,In Production
DCD,,California,,,In Production
DJK,,Utah,Salt Lake,Staker Parson,Completed
DFF,Carmel Valley,California,,,Completed
CZU,,Washington,Pierce County,,In Production
CYY,,California,Modesto,,In Production
CZB,,Nevada,Las Vegas,,In Production
CZH,,,City of Fernley,,Completed
DAO,,California,Yuba County,,In Production
DAT,,California,Cupertino County,,In Production
CZM,,California,,,In Production
DKQ,Scottsdale,Arizona,,Achen-Gardner Construction,Completed
DWJ,Henderson,North Carolina,Vance County,,Completed
DDG,Eagle,Idaho,,,Completed
DIO,,California,Freedom County,Subterra Contractors,Completed
DVR,,Florida,Osceola County,"Assured Excavating Inc, Hughes Brother Construcion",Completed
DNV,La Verkin,Utah,Washington County,,Completed
DIJ,Buckeye,Arizona,,Turnco,Completed
DKZ,Town of Florence,Arizona,,,Completed
DEJ,Fallon,Nevada,,,Completed
DIJ,Buckeye,Arizona,,Turnco,Completed
DDJ,Phoenix,Arizona,Phoenix,,Completed
DEN,Spreckels,California,,,Completed
DFV,Parrish,Florida,Manatee County,Hughey Construction Services,Completed
DIC,,North Carolina,Brunswick County,,Completed
DDO,Rehoboth,Delaware,Rehoboth Beach,,In Production
DNL,Redmond,Oregon,Deschutes County,,Completed
CYG,,Kansas,Dodge City,,Opportunity  Lost
ECA,,Florida,TOHO,"Assured Excavating Inc, Blue Ox, Hughes Brother Construcion, John M Hall, Meyer Construction Group",Completed
DEM,,California,,,Opportunity  Lost
DEW,South Fulton,Georgia,,,In Production
DEL,Phoenix,Arizona,,,Completed
DKJ,,Florida,Hillsborough County,K&R,Completed
DJP,,Florida,Manatee County,C&M Roadbuilders,Completed
CYW,,Florida,TOHO,WalRose,Completed
DSB,Debary,Florida,Volusia County,"Brockman, WLW Construction",Completed
DJQ,City of Anna,Texas,,,Completed
DGY,Mesquite,Texas,,,In Production
CYW,,Florida,TOHO,,Completed
DKD,Charlotte,North Carolina,,,Completed
DPF,Naples,Florida,Naples,,Completed
DEA,Halifax,Pennsylvania,Daophin,,In Production
DHY,Reno,Nevada,,,Completed
EAF,Belleview,Florida,,,Completed
DFC,Houston,Texas,,,In Production
DUI,St. Cloud,Florida,Osceola County,"Hughes Brother Construcion, JR Davis, Southern Development & Construction Inc., The Briar Team",Completed
DDS,,Arizona,Buckeye,TPL,Completed
CNZ,Denver,Colorado,,,In Production
ECR,Kissimmee,Florida,Osceola County,"Assured Excavating Inc, Blue Ox, The Briar Team",Completed
DRT,Parrish,Florida,Manatee County,C&M Roadbuilders,Completed
DDC,,Florida,Manatee County,Landmark Services,Completed
DIM,Carollton,Kentucky,,,In Production
DCP,Bradenton,Florida,Manatee County,Central Site Dev,Quote Sent to Sales
DTS,City of Cocoa,Florida,Brevard County,JR Davis,Completed
DJN,Charlotte,North Carolina,,,Completed
DLB,,Florida,TOHO,"Blue Ox, The Briar Team",Completed
DAP,,Texas,Dallas,,Opportunity  Lost
DLD,,Arizona,Plumas County,Pacific West Builders,Completed
DGX,Frisco,Texas,City of Waco,,Completed
DOR,,Pennsylvania,Monroe County,,Completed
DMT,,North Carolina,Brunswick County,,In Production
DMM,Parrish,Florida,Manatee County,QGS,Completed
DQM,,Arizona,Pinal County,B&F Contracting,Completed
DMC,,Minnesota,Hennepin Ave,,Completed
ELV,Kissimmee,Florida,Osceola County,"City Homes, John M Hall, Southern Development & Construction Inc.",Released to Production
DJT,Lakeview,Texas,,,Completed
DOI,Charlotte,North Carolina,,,Completed
DRF,Phoenix,Arizona,,,Completed
EJR,Ash,North Carolina,Brunswick County,,In Production
DGU,North Davis,Utah,Davis County,,Completed
DIY,Oakwood,Georgia,,,In Production
DDL,,Arizona,,,Opportunity  Lost
DGW,Raleigh,North Carolina,,,Completed
DHH,,Florida,Manatee County,DEME,Completed
DLL,Parrish,Florida,Manatee County,Core and Main,Completed
DMW,,Florida,Manatee County,Wilson Site Dev,Completed
DHM,El Cajon,California,San Diego County,Kyne Construction Inc.,Completed
DLI,Chandler,Arizona,Chandler,,In Production
DOQ,Yuba City,California,Yuba County,,
DQZ,Bradenton,Florida,Manatee County,,Completed
DPV,,Texas,San Antonio,,Completed
DFO,,Florida,Manatee County,QGS,Completed
DPR,Dallas,Texas,,,Completed
EAE,Gainesville,Florida,Alachua County,,Completed
DRC,Parrish,Florida,Manatee County,,Completed
DGI,Gilbert,Arizona,Maricopa County,Archer Western,Completed
DKN,Parrish,Florida,Manatee County,ET Makenzie Co.,Completed
DKX,,Florida,Manatee County,,Completed
DLT,,Florida,Alachua County,,Completed
DIG,St. George,Utah,,JP Excavating,Completed
DWR,Parrish,Florida,Manatee County,,Completed
DGL,Columbia,South Carolina,,,In Production
DEY,Tallahassee,Florida,,,In Production
DBS,Raleigh,North Carolina,Wake County,,In Production
DBS,Raleigh,North Carolina,Wake County,,In Production
DJX,Palmetto,Florida,Manatee County,RIPA,Completed
DQV,,Florida,Manatee County,,Completed
DLK,Kissimmee,Florida,Osceola County,,Completed
DLV,,North Carolina,,,Completed
DGS,Bakersfield,California,Bakersfield,,Completed
DTY,Kissimmee,Florida,Osceola County,,Completed
DVC,City of Casa Grande,Arizona,Pinal County,,Completed
DGO,Yuba City,California,Yuba County,Sanco Pipelines,Completed
DIV,,California,Yuba County,Sanco Pipelines,Completed
DIT,,California,Yuba County,Sanco Pipelines,Completed
DIU,,California,Yuba County,Sanco Pipelines,Completed
DGA,City of Rowlett,Texas,,,Completed
CPB,Seagoville,Texas,,,Completed
DJO,,California,,,Completed
DRL,,Florida,Manatee County,C&M Roadbuilders,Completed
DWB,Wilmington,North Carolina,,,Completed
DIE,West Columbia,Texas,,,Completed
DPU,Town of Florence,Arizona,Pinal County,"ASR Construction Group, Filanc, Hunter Contracting",Completed
DDE,City of Yuma,Arizona,Yuma County,Red Pine Construction,Completed
DFE,Carmel,California,,,Completed
DSR,Ashville,North Carolina,Buncombe County,,Completed
DFS,City of Largo,Florida,,,Completed
DGF,City of Rowlett,Texas,Dallas,,In Production
DFJ,Queen Creek,Arizona,Maricopa County,,Completed
DRD,Gainesville,Florida,Alachua County,,Completed
DNA,Santa Margarita,California,,,Completed
CRM,Phoenix,Arizona,,B&F Contracting,Completed
DGQ,St. George,Utah,Washington County,Feller Enterprises,Completed
DKV,Bradenton,Florida,Manatee County,Mcleod Land Services,Completed
DFL,Casa Grande,Arizona,,,Completed
DGP,Redding,California,,Allen Gill Construction Inc.,Completed
DJD,Tampa,Florida,Hillsborough County,,Completed
DDZ,,Arizona,,Desert Excavating,Completed
CYF,El Paso,Texas,El Paso County,,Opportunity  Lost
DFY,Apex,North Carolina,,,In Production
DLR,City of Yuma,Arizona,Yuma County,Taylor Engineering,Completed
DGR,Phoenix,Arizona,,Brown and Caldwell,Completed
DOF,,Florida,Osceola County,,Completed
DMK,Plumas Lake,California,Yuba County,,Completed
DCR,Bradenton,Florida,Manatee County,ET Makenzie Co.,Completed
DPG,Las Vegas,Nevada,Clark County,,Completed
DOO,Modesto,California,,Sak Construction,Completed
DNR,Kissimmee,Florida,Osceola County,The Briar Team,Completed
DMD,Seagoville,Texas,,,In Production
DGD,West Point,Utah,Davis County,,Completed
DGH,Phoenix,Arizona,Maricopa County,,Completed
DMY,,Florida,Manatee County,,Completed
EJL,Pace,Florida,Santa Rosa County,,In Production
DFR,,California,San Mateo,,Completed
DMF,Peoria,Arizona,Maricopa County,,Completed
DMI,Mobile,Alabama,,,In Production
DQQ,Redding,California,,City of Redding,Completed
DMV,Roy,Utah,Weber County,BHI Co.,In Production
DJV,,Florida,Osceola County,Swell Construction,Completed
DGK,Chandler,Arizona,,Atwater construction,Completed
EFP,Palmetto,Florida,Manatee County,C&M Roadbuilders,Completed
DKM,El Paso,Texas,El Paso County,,In Production
DGC,Gainesville,Florida,,,Completed
DJH,Layton,Utah,,,Completed
DVH,City of Carlsbad,California,San Diego County,,Completed
DNF,Albuquerque,New Mexico,Bernalillo County,,Completed
DOT,,Florida,Osceola County,Florida Civil Construction,Completed
DHB,,North Carolina,,,Completed
DMP,Tempe,Arizona,,B&F Contracting,Completed
DGE,Carmel,California,,,Completed
DLQ,Farmersville,Texas,Collin County,,In Production
DNP,St. Cloud,Florida,Osceola County,,Completed
DEA,Halifax,Pennsylvania,Daophin,,In Production
DLX,,North Carolina,,,Completed
DSA,,Florida,Osceola County,Assured Excavating Inc,Completed
DHW,Bullhead City,Arizona,Mohave County,GCON,Completed
DMQ,Scottsdale,Arizona,,,Completed
CTO,Perris,California,,,Completed
DOZ,Olivehurst,California,Yuba County,,Completed
DNI,San Antonio,Texas,,,Completed
DIQ,Gainesville,Florida,Alachua County,Jacobs,Completed
DNO,St. Cloud,Florida,Osceola County,,Completed
DWW,St. Cloud,Florida,Osceola County,"Assured Excavating Inc, Foshee Construction",Completed
EDV,Parrish,Florida,Manatee County,Holland Enterprises,Completed
DHJ,Parrish,Florida,Manatee County,DEME,Completed
DHK,Parrish,Florida,Manatee County,DEME,Completed
DUN,Norfolk,Virginia,,,Completed
CYS,,Florida,Brevard County,,Completed
DQC,Albuquerque,New Mexico,Bernalillo County,,Completed
DJB,Saticoy,California,Ventura County,,Completed
DRM,Chandler,Arizona,Maricopa County,,Completed
DQJ,,North Carolina,Pender County,,Completed
DIS,Tempe,Arizona,,TF Contracting Services,Completed
CPB,Seagoville,Texas,,,Completed
EES,St. Cloud,Florida,Osceola County,Assured Excavating Inc,Completed
DRJ,Houston,Texas,,,Released to Production
DHF,Queen Creek,Arizona,,Blucor Contracting,Completed
DUS,Anthem,Arizona,,,Completed
DID,St. George,Utah,,,Completed
DHE,Boulder City,Nevada,,,Completed
DHT,,Florida,Manatee County,,Completed
DQF,Parrish,Florida,Manatee County,,Completed
DRE,Raleigh,North Carolina,Brunswick County,,Completed
DHV,,Washington,Pierce County,,Completed
DMJ,Princeton,Texas,Collin County,,Completed
EAW,Bradenton,Florida,Manatee County,WoodRuff and Sons,Completed
EJV,Chandler,Arizona,Maricopa County,,In Production
DBE,Mt. Pleasant,South Carolina,Alachua County,,Opportunity  Lost
DOC,Burleson,Texas,Johnson County,,Completed
DRU,Kissimmee,Florida,Osceola County,Ramage,Completed
DEI,Buckeye,Arizona,Maricopa County,,Completed
DLH,,Florida,Manatee County,,Completed
CYY,,California,Modesto,,Opportunity  Lost
DLJ,American Fork,Utah,Utah County,"COP Construction, Condie construction Company, Sundt, Whitaker Construction",In Production
EDA,,Florida,Osceola County,,In Production
DPH,,Florida,Manatee County,,Completed
DKF,,Florida,Brevard County,,Completed
EKV,Saraland,Alabama,MOBILE,,In Production
DLO,Tucson,Arizona,Pima County,,Completed
EJH,Saipan,Northern Mariana Islands,,,In Production
DAV,,Arizona,Queen Creek,,Opportunity  Lost
DSE,City of Carlsbad,California,,,Completed
DRY,Gainesville,Florida,Alachua County,,Completed
DIZ,,Florida,Pasco County,,In Production
DIR,Washington,North Carolina,,,Completed
DAE,,California,Santa Rosa County,,Opportunity  Lost
DLM,Gainesville,Florida,Alachua County,,Completed
DJR,Sacramento,California,Sutter County,,Completed
DTM,Tempe,Arizona,,,Completed
DKU,,Washington,Pierce County,,Completed
DQP,Santa Paula,California,Ventura County,,Completed
DJI,Clayton,North Carolina,,,Completed
DJS,Bradenton,Florida,Manatee County,,Completed
DQN,,North Carolina,New Hanover County,,Completed
DNK,Phoenix,Arizona,Maricopa County,,Completed
EKZ,Chandler,Arizona,Maricopa County,,In Production
DSJ,,California,Marin County,,Completed
BVM,Sayreville,New Jersey,,,Completed
DNQ,Parrish,Florida,Manatee County,The Kerney Company,Completed
DJZ,Casa Grande,Arizona,,,Completed
CZJ,Jacksonville,Florida,Duval County,,Quote Sent to Sales
DPQ,,Florida,Osceola County,,Completed
DKK,Goleta,California,,,Completed
EFM,Tucson,Arizona,Pima County,,Completed
DQU,Palmetto,Florida,Manatee County,,Completed
DKH,,California,Sutter County,,Completed
DNU,Discovery Bay,California,Contra Costa County,,In Production
DNN,Chandler,Arizona,Maricopa County,,Completed
DVL,,Florida,Osceola County,John M Hall,Completed
DLY,Parrish,Florida,Manatee County,The Kerney Company,Completed
DMZ,Tucson,Arizona,Pima County,,Completed
DMU,Town of Gilbert,Arizona,,,Completed
DKR,,Florida,Manatee County,,Completed
DKI,,California,Santa Barbara,,Completed
DOS,Lovelock,Nevada,Pershing County,,Completed
DKO,Tucson,Arizona,,,Completed
DXO,Bradenton,Florida,Manatee County,,Completed
DXA,City of Galt,California,,,Completed
DLF,Oxnard,California,,,Completed
DNX,Marana,Arizona,Pima County,,Completed
DJL,Palm Springs,California,,,Completed
DJM,Gainesville,Florida,,,In Production
DNB,Sacramento,California,Sacramento County,,Completed
DMG,Tempe,Arizona,,,Completed
DHU,,Arizona,Chandler,B&F Contracting,Completed
DGA,City of Rowlett,Texas,,,Opportunity  Lost
DMO,City of Rowlett,Texas,Dallas County,,Completed
DCR,Bradenton,Florida,Manatee County,ET Makenzie Co.,Completed
DCR,Bradenton,Florida,Manatee County,ET Makenzie Co.,Completed
DTH,Kissimmee,Florida,Osceola County,Hughes Brother Construcion,Completed
DXU,Davenport,Florida,Osceola County,JR Davis,Completed
DND,,Florida,Pasco County,,Completed
DVM,Kissimmee,Florida,Osceola County,JR Davis,Completed
DQK,Phoenix,Arizona,Maricopa County,,Completed
DZG,Tempe,Arizona,,,Completed
DKT,St. George,Utah,Washington County,,Completed
DNT,Irving,Texas,,,Completed
DSK,Bradenton,Florida,Manatee County,,Completed
DHS,,Florida,Manatee County,ET Makenzie Co.,Completed
DTI,Town of Winterville,North Carolina,Pitt County,,Completed
CTS,Bradenton,Florida,Manatee County,,In Production
DHO,St. Cloud,Florida,Osceola County,WalRose,Completed
DXT,Sarasota,Florida,Manatee County,Landmark Services,Completed
DOH,Melbourne,Florida,Brevard County,Sanpik,Completed
DNS,Sierra Vista,Arizona,Cochise County,,Completed
DQT,,Georgia,Gwinnett County,,Completed
DIO,,California,Freedom County,Subterra Contractors,Opportunity  Lost
DKP,Cocoa,Florida,,,In Production
DUU,Wichita,Kansas,,,Completed
DCZ,Queen Creek,Arizona,Maricopa County,,Opportunity  Lost
DGI,Gilbert,Arizona,Maricopa County,Archer Western,Opportunity  Lost
CWE,Mckinney,Texas,,,Opportunity  Lost
DEH,Queen Creek,Arizona,,,Completed
DMB,Harrisville,Utah,,,Completed
DOX,Wylie,Texas,King,,Completed
DME,Chandler,Arizona,Maricopa County,,Completed
DUG,Ocean Isle Beach,North Carolina,Brunswick County,,Completed
DMX,Phoenix,Arizona,Maricopa County,,Completed
DMS,Gainesville,Florida,Alachua County,,Completed
EHA,Nokomis,Florida,Sarasota County,Phillips & Jordan,In Production
DPY,City of Cleburne,Texas,,,In Production
DPP,Mesquite,Texas,,,Completed
DSN,Port St. Lucie,Florida,St. Lucie County,,Released to Production
DTP,San Antonio,Texas,,,In Production
DYL,Lakewood Ranch,Florida,Manatee County,,Completed
DPW,Jacksonville,Florida,Duval County,,Completed
DHJ,Parrish,Florida,Manatee County,DEME,Completed
DUE,Kissimmee,Florida,Osceola County,"Camcore Site Dev, Marlin Construction Company",Completed
DNH,Houston,Texas,,,Completed
DRV,City of Yuma,Arizona,Yuma County,,Completed
DVD,Port St. Lucie,Florida,Port St Lucie County,Firethorn,Completed
CZP,,California,Yuba County,,Opportunity  Lost
DVO,Nipomo,California,San Luis Obispo County,,Completed
DDZ,,Arizona,,,Opportunity  Lost
DDZ,,Arizona,,Desert Excavating,Completed
DYC,,Florida,Osceola County,Blue Ox,Completed
DSC,,Florida,Manatee County,DEME,Completed
DKL,,Arizona,Phoenix,,Completed
DXB,,Florida,Osceola County,"Eden Site Dev, Southern Development & Construction Inc.",Completed
DUR,Gainesville,Texas,,,In Production
DLJ,American Fork,Utah,Utah County,"COP Construction, Condie construction Company, Sundt, Whitaker Construction",Completed
DLJ,American Fork,Utah,Utah County,"COP Construction, Condie construction Company, Sundt, Whitaker Construction",Completed
DOY,San Antonio,Texas,,,Cancelled
DXI,Kissimmee,Florida,Osceola County,Orlando Construction LLC.,Completed
DTL,Palmetto,Florida,Manatee County,"Burgess Civil, Central Site Dev, DEME, Forrest Excavating",Completed
DPT,Princeton,Texas,Collin County,,Completed
DYA,,Florida,Osceola County,"Blue Ox, JMHC, JR Davis",Completed
DPO,Roseville,California,Placer County,,Completed
DSQ,Phoenix,Arizona,Maricopa County,,Completed
DOW,Chandler Heights,Arizona,Maricopa County,,Completed
DML,Taylor,Utah,Weber County,,Completed
DJU,,Florida,TOHO,Assured Excavating Inc,Completed
DKL,,Arizona,Phoenix,,Completed
DKL,,Arizona,Phoenix,,Completed
DIG,St. George,Utah,,JP Excavating,Opportunity  Lost
DHK,Parrish,Florida,Manatee County,DEME,Completed
DVK,Nipomo,California,,,In Production
DTZ,St. Cloud,Florida,Osceola County,JR Davis,Completed
DTZ,St. Cloud,Florida,Osceola County,,Completed
DPL,Kissimmee,North Carolina,Brunswick County,,Completed
DWH,,Florida,Manatee County,ET Makenzie Co.,Completed
EAK,Morgan Hill,California,Santa Clara County,,Completed
DMZ,,Florida,Okaloosa County,,In Production
DWO,,Florida,Osceola County,,Completed
DVB,Burgaw,North Carolina,Pender County,,Completed
DTB,El Centro,California,Imperial County,,Completed
DYW,Minden,Nevada,,,Completed
DKH,,California,Sutter County,,Completed
DJR,Sacramento,California,Sutter County,,Completed
DQH,Reno,Nevada,,,Completed
DKL,,Arizona,Phoenix,,Completed
CKQ,,Texas,Shertz,,Quote Sent to Sales
DPI,Palmetto,Florida,Manatee County,Major League Services,Completed
DQY,Bradenton,Florida,Manatee County,Fredrick Derr,Completed
DFE,Carmel,California,,,Completed
DPJ,Bradenton,Florida,Manatee County,ET Makenzie Co.,Completed
DVY,Lakeland,Florida,Polk County,Hughes Brother Construcion,Completed
CYL,Parrish,Florida,Manatee County,,Quote Sent to Sales
DMF,Peoria,Arizona,Maricopa County,,Completed
DOB,Lawrenceville,Georgia,Gwinnett County,,In Production
DZY,St. George,Utah,Washington County,,Completed
DEH,Queen Creek,Arizona,Maricopa County,,Completed
DYP,Venice,Florida,,,Completed
DDC,Parrish,Florida,Manatee County,The Kerney Company,Completed
DDC,,Florida,Manatee County,Landmark Services,Completed
DRS,Dallas,Texas,,,In Production
DPK,Dallas,Texas,,,Completed
DON,City of Yuma,Arizona,Yuma County,,Completed
DQE,City of Eden,North Carolina,,,Completed
DFA,,Florida,Citrus County,Pave-Rite Inc,Quote Sent to Sales
DXR,Charlotte,North Carolina,,,Completed
DVF,Homosassa,Florida,Citrus County,,Completed
DSP,Kissimmee,Florida,Osceola County,Insituform,Completed
DIB,,Florida,Osceola County,Blue Ox,Completed
DIB,,Florida,Osceola County,Blue Ox,Completed
DOK,,Florida,Manatee County,ET Makenzie Co.,Completed
DOJ,Lakeside,Arizona,Navajo County,,Completed
DPE,City of Alvarado,Texas,Johnson County,,Completed
EGQ,,Virginia,Fairfax,,Completed
DVV,Kissimmee,Florida,Osceola County,John M Hall,Completed
DRK,El Paso,Texas,El Paso County,,Completed
DPZ,Greenville,South Carolina,,,Completed
DKT,St. George,Utah,Washington County,,Quote Sent to Sales
DTJ,Jacksonville,Florida,Duval County,,In Production
DSJ,Mill Valley,California,Marin County,,Released to Production
DNU,Discovery Bay,California,Contra Costa County,,Completed
DLT,,Florida,Alachua County,,Completed
DUX,Kissimmee,Florida,Osceola County,,Completed
DKA,Palmetto,Florida,Manatee County,Wilson Site Dev,Completed
DKB,Palmetto,Florida,Manatee County,Wilson Site Dev,Completed
ECW,Sacramento,California,Sacramento County,,Completed
DOY,San Antonio,Texas,,,Completed
DQA,Salt Lake City,Utah,Salt Lake County,,Completed
DIM,Carollton,Kentucky,,,Quote Sent to Sales
DWV,Bradenton,Florida,Manatee County,WoodRuff and Sons,Completed
DAH,Plano,Texas,,,Completed
DPS,Savannah,Georgia,Chatham County,,Completed
DYV,Sacramento,California,Sacramento County,,Completed
DEE,Boulder,Colorado,,,Completed
EFV,Knoxville,Tennessee,,,Completed
DTT,Denver,Colorado,,,Completed
DRU,Kissimmee,Florida,Osceola County,WhartonSmith,Completed
DWU,St. Cloud,Florida,Osceola County,"Blue Ox, TSS Civil",Completed
DVI,Glendale,Arizona,Maricopa County,,Completed
DGV,Lakeland,Florida,Polk County,,Completed
DRN,,Florida,Brevard County,John M Hall,Completed
DDU,St. Cloud,Florida,Osceola County,WalRose,Completed
EBL,St. Cloud,Florida,Osceola County,,Completed
EBR,Bradenton,Florida,Manatee County,TLC Diversified,Completed
DSG,City of Lindale,Texas,Smith County,,In Production
DPN,Swiftwater,Pennsylvania,Monroe County,,Completed
DTR,,Florida,Brevard County,"Ramage, Ryan Utilities",Completed
EFC,Bradenton,Florida,Manatee County,,Completed
DTU,Lakewood Ranch,Florida,Manatee County,,Completed
DQR,,Florida,Osceola County,,Completed
DWD,Cape Fear,North Carolina,,,Completed
DPC,Show Low,Arizona,Navajo County,,Completed
DSM,Gunter,Texas,Grayson County,,In Production
DVX,Kissimmee,Florida,Osceola County,"Harty Tractor, Vogel Bros Building, WhartonSmith",Completed
DRX,,Florida,Hillsborough County,,Completed
DOL,Jacksonville,Florida,Duval County,,Completed
DXE,Kissimmee,Florida,Osceola County,"Cathcart Const., Sanpik",Completed
